Date,FB,AMZN,AAPL,NFLX,GOOG
2015-01-02,78.44999694824219,308.5199890136719,24.81924057006836,49.84857177734375,523.3731079101562
2015-01-05,77.19000244140625,302.19000244140625,24.120044708251953,47.31142807006836,512.4630126953125
2015-01-06,76.1500015258789,295.2900085449219,24.1223201751709,46.50143051147461,500.58563232421875
2015-01-07,76.1500015258789,298.4200134277344,24.46056365966797,46.74285888671875,499.7279968261719
2015-01-08,78.18000030517578,300.4599914550781,25.40039825439453,47.779998779296875,501.3036804199219
2015-01-09,77.73999786376953,296.92999267578125,25.427635192871094,47.04142761230469,494.8114929199219
2015-01-12,76.72000122070312,291.4100036621094,24.801082611083984,45.547142028808594,491.201416015625
2015-01-13,76.44999694824219,294.739990234375,25.021282196044922,46.255714416503906,494.82147216796875
2015-01-14,76.27999877929688,293.2699890136719,24.92594337463379,46.31999969482422,499.4986267089844
2015-01-15,74.05000305175781,286.95001220703125,24.249435424804688,46.25143051147461,500.4161071777344
2015-01-16,75.18000030517578,290.739990234375,24.061016082763672,48.191429138183594,506.6888732910156
2015-01-20,76.23999786376953,289.44000244140625,24.680767059326172,49.82857131958008,505.5121154785156
2015-01-21,76.73999786376953,297.25,24.869184494018555,58.468570709228516,516.6216430664062
2015-01-22,77.6500015258789,310.32000732421875,25.51616859436035,61.20571517944336,532.9268188476562
2015-01-23,77.83000183105469,312.3900146484375,25.647838592529297,62.494285583496094,538.4716186523438
2015-01-26,77.5,309.6600036621094,25.675077438354492,63.79428482055664,533.74462890625
2015-01-27,75.77999877929688,306.75,24.776113510131836,64.88143157958984,517.2100219726562
2015-01-28,76.23999786376953,303.9100036621094,26.176776885986328,63.20857238769531,508.6036376953125
2015-01-29,78.0,311.7799987792969,26.99174690246582,63.400001525878906,509.2618103027344
2015-01-30,75.91000366210938,354.5299987792969,26.596750259399414,63.11428451538086,533.0565185546875
2015-02-02,74.98999786376953,364.4700012207031,26.930452346801758,63.0099983215332,527.0330200195312
2015-02-03,75.4000015258789,363.54998779296875,26.934995651245117,65.27428436279297,527.7909545898438
2015-02-04,75.62999725341797,364.75,27.141578674316406,64.10143280029297,521.3286743164062
2015-02-05,75.61000061035156,373.8900146484375,27.335304260253906,64.12999725341797,526.135498046875
2015-02-06,74.47000122070312,374.2799987792969,27.105112075805664,63.47999954223633,529.546142578125
2015-02-09,74.44000244140625,370.55999755859375,27.285160064697266,63.29571533203125,526.3848266601562
2015-02-10,75.19000244140625,373.0,27.80934715270996,64.8499984741211,535.4698486328125
2015-02-11,76.51000213623047,375.1400146484375,28.461166381835938,64.98428344726562,534.5025024414062
2015-02-12,76.2300033569336,377.1700134277344,28.82125473022461,65.24714660644531,541.4434814453125
2015-02-13,75.73999786376953,381.8299865722656,28.96256446838379,66.5857162475586,547.5068359375
2015-02-17,75.5999984741211,375.42999267578125,29.133495330810547,67.13714599609375,541.3536987304688
2015-02-18,76.70999908447266,373.3699951171875,29.336334228515625,67.86571502685547,538.2222900390625
2015-02-19,79.41999816894531,379.0,29.27479362487793,67.80000305175781,541.3836059570312
2015-02-20,79.9000015258789,383.6600036621094,29.514102935791016,68.31428527832031,537.474365234375
2015-02-23,78.83999633789062,380.1400146484375,30.311782836914062,67.40571594238281,530.45361328125
2015-02-24,78.44999694824219,378.5899963378906,30.12261390686035,67.83999633789062,534.6221923828125
2015-02-25,79.55999755859375,385.3699951171875,29.352283477783203,68.33285522460938,542.3809204101562
2015-02-26,80.41000366210938,384.79998779296875,29.723779678344727,69.00428771972656,553.9591064453125
2015-02-27,78.97000122070312,380.1600036621094,29.277080535888672,67.84428405761719,556.87109375
2015-03-02,79.75,385.6600036621094,29.420658111572266,68.60713958740234,569.7756958007812
2015-03-03,79.5999984741211,384.6099853515625,29.48219871520996,67.81571197509766,572.0693969726562
2015-03-04,80.9000015258789,382.7200012207031,29.295307159423828,67.11000061035156,571.8001098632812
2015-03-05,81.20999908447266,387.8299865722656,28.80986785888672,66.80714416503906,573.7547607421875
2015-03-06,80.01000213623047,380.0899963378906,28.85317039489746,64.87428283691406,566.1306762695312
2015-03-09,79.44000244140625,378.55999755859375,28.976242065429688,63.66143035888672,567.29248046875
2015-03-10,77.55000305175781,369.510009765625,28.376840591430664,62.15142822265625,553.4904174804688
2015-03-11,77.56999969482422,366.3699951171875,27.8594913482666,62.88428497314453,549.6708984375
2015-03-12,78.93000030517578,374.239990234375,28.3631591796875,64.04571533203125,553.989013671875
2015-03-13,78.05000305175781,370.5799865722656,28.16716194152832,62.628570556640625,545.8214721679688
2015-03-16,78.06999969482422,373.3500061035156,28.477115631103516,60.281429290771484,552.9917602539062
2015-03-17,79.36000061035156,371.9200134277344,28.953447341918945,59.788570404052734,549.331787109375
2015-03-18,80.91000366210938,375.1400146484375,29.279361724853516,60.44571304321289,557.9680786132812
2015-03-19,82.75,373.239990234375,29.058284759521484,60.744285583496094,556.4622192382812
2015-03-20,83.80000305175781,378.489990234375,28.693634033203125,61.18571472167969,558.8257446289062
2015-03-23,84.43000030517578,375.1099853515625,28.9921932220459,60.71428680419922,557.2799682617188
2015-03-24,85.30999755859375,374.0899963378906,28.873680114746094,62.611427307128906,568.6288452148438
2015-03-25,82.91999816894531,370.9599914550781,28.11930274963379,60.25,557.2550659179688
2015-03-26,83.01000213623047,367.3500061035156,28.3153133392334,59.75143051147461,553.6499633789062
2015-03-27,83.30000305175781,370.55999755859375,28.089677810668945,59.25285720825195,546.8386840820312
2015-03-30,83.19999694824219,374.5899963378906,28.800748825073242,60.36714172363281,550.5185546875
